						B-Baseline
			Spectral	Data	File	
		1.0				
						
						
						
						
		4096.0				
		1.0				
						
						
						
		0.01				
		-0.4				
						
		40.0				
		30.0				
		39.742022				
		50.0				
		607000.0				
		100.0				
		0.0				
		0.0				
		45.0				
		0.0				
		0.0				
		0.0				
		4.0				
1.36	42.0					-33.24167896874384
1.37	57.0					-18.287487057081805
1.38	51.0					-24.333295145419754
1.39	73.0					-2.3791032337577036
1.4	97.0					21.575088677904333
1.41	161.0					85.52928058956638
1.42	209.0					133.48347250122845
1.43	286.0					210.43766441289048
1.44	390.0					314.3918563245525
1.45	578.0					502.3460482362146
1.46	648.0					572.3002401478766
1.47	753.0					677.2544320595387
1.48	901.0					825.2086239712007
1.49	804.0					728.1628158828628
1.5	875.0					799.1170077945249
1.51	787.0					711.0711997061868
1.52	673.0					597.0253916178489
1.53	632.0					555.9795835295109
1.54	485.0					408.933775441173
1.55	376.0					299.88796735283506
1.56	303.0					226.84215926449707
1.57	209.0					132.79635117615913
1.58	185.0					108.75054308782117
1.59	158.0					81.70473499948322
1.6	142.0					65.65892691114527
1.61	123.0					46.61311882280731
1.62	168.0					91.56731073446936
1.63	266.0					189.5215026461314
1.64	384.0					307.4756945577934
1.65	644.0					567.4298864694555
1.66	1037.0					960.3840783811175
1.67	1629.0					1552.3382702927795
1.68	2436.0					2359.2924622044416
1.69	3429.0					3352.246654116104
1.7	4373.0					4296.200846027766
1.71	5583.0					5506.1550379394275
1.72	6638.0					6561.10922985109
1.73	7741.0					7664.063421762752
1.74	7997.0					7920.017613674414
1.75	8101.0					8023.971805586076
1.76	7743.0					7665.925997497738
1.77	7002.0					6924.8801894094
1.78	5925.0					5847.834381321062
1.79	4915.0					4837.788573232724
1.8	3703.0					3625.7427651443863
1.81	2737.0					2659.696957056048
1.82	1973.0					1895.6511489677102
1.83	1492.0					1414.6053408793723
1.84	971.0					893.5595327910344
1.85	766.0					688.5137247026964
1.86	549.0					471.4679166143585
1.87	400.0					322.4221085260205
1.88	266.0					188.37630043768257
1.89	224.0					146.3304923493446
1.9	165.0					87.28468426100666
1.91	108.0					30.238876172668697
1.92	92.0					14.193068084330747
1.93	87.0					9.147259995992798
1.94	92.0					14.101451907654834
1.95	77.0					-0.9443561806831156
1.96	79.0					1.009835730978935
1.97	76.0					-2.0359723573590145
1.98	63.0					-15.081780445696978
1.99	76.0					-2.1275885340349276
2.0	76.0					-2.173396622372877
2.01	87.0					8.78079528928916
2.02	87.0					8.73498720095121
2.03	87.0					8.68917911261326
2.04	67.0					-11.356628975724703
2.05	66.0					-12.402437064062653
2.06	77.0					-1.4482451524006024
2.07	53.0					-25.494053240738552
2.08	46.0					-32.539861329076516
2.09	47.0					-31.585669417414465
2.1	35.0					-43.631477505752414
